,episodes,rewards,variances
224,224,163.10199999999998,5.723514533224937
225,225,164.616,5.598837368894838
226,226,166.132,5.478326247206656
227,227,167.63,5.364288197922476
228,228,169.144,5.257698218071749
229,229,170.646,5.155280927476573
230,230,172.024,5.07022559801976
231,231,173.49200000000002,4.990756823823117
232,232,174.952,4.910320513931553
233,233,176.47400000000002,4.830879001279162
234,234,177.96599999999998,4.753399098520428
235,235,179.488,4.685033403720988
236,236,180.974,4.601689333166843
237,237,182.49200000000002,4.549299029337742
238,238,184.132,4.520362917768142
239,239,184.868,4.307736949481235
240,240,185.688,4.087501972589852
241,241,186.378,3.8907144223398986
242,242,187.22799999999998,3.707030297411388
243,243,187.964,3.4729513577551514
244,244,188.74,3.237728016423451
245,245,189.5,3.001603695588474
246,246,190.264,2.7656441549242494
247,247,191.024,2.5317900487453415
248,248,191.784,2.2990689820575803
249,249,192.548,2.0666515727495414
250,250,193.308,1.8375465378334555
251,251,194.038,1.617325973379103
252,252,194.77599999999998,1.3993679257674434
253,253,195.398,1.2076898319074298
254,254,196.094,1.0059745120933654
255,255,196.63,0.8352824497338239
256,256,197.03199999999998,0.6849428139146634
257,257,197.75400000000002,0.5021571213644542
258,258,198.188,0.42099723815844375
259,259,198.61200000000002,0.2826432912570015
260,260,199.01399999999998,0.1790794270811274
261,261,199.074,0.15733932574510998
262,262,199.074,0.15733932574510998
263,263,198.708,0.19974313597811333
264,264,198.708,0.19974313597811333
265,265,198.696,0.19154874150035786
266,266,198.696,0.19154874150035786
267,267,198.696,0.19154874150035786
268,268,198.696,0.19154874150035786
269,269,198.68800000000002,0.19220375473266185
270,270,198.68800000000002,0.19220375473266185
271,271,198.68800000000002,0.19220375473266185
272,272,198.6,0.14208125609429942
273,273,198.574,0.14225992284599442
274,274,198.506,0.14645362209903326
275,275,198.478,0.16621757829222783
276,276,198.418,0.13319265495264243
277,277,198.37,0.11786070521311902
278,278,198.37,0.11786070521311902
279,279,198.3,0.12542714057409096
280,280,198.286,0.12766536661653297
281,281,198.206,0.14038927856869113
282,282,198.224,0.137503801294258
283,283,198.18200000000002,0.14687275136182518
284,284,198.12199999999999,0.1618208700430265
285,285,198.09799999999998,0.15171682168263942
286,286,198.022,0.13836822183873962
287,287,198.00199999999998,0.13986337910552044
288,288,197.93,0.1522560282817995
289,289,197.886,0.1617600074183984
290,290,197.886,0.1617600074183984
291,291,197.69,0.17311711942219046
292,292,197.48399999999998,0.21615298401826422
293,293,197.46200000000002,0.2243063092522632
294,294,197.46200000000002,0.2243063092522632
295,295,197.452,0.22538488377292382
296,296,197.452,0.22538488377292382
297,297,197.452,0.22538488377292382
298,298,197.446,0.22479603718334176
299,299,197.446,0.22479603718334176
